date,region,channel,revenue
2026-06-12,NA,Paid Search,5961.85
2026-06-12,NA,Organic,6001.57
2026-06-12,NA,Referral,4169.41
2026-06-12,EMEA,Paid Search,4446.89
2026-06-12,EMEA,Organic,3558.91
2026-06-12,EMEA,Referral,2388.59
2026-06-12,APAC,Paid Search,3424.51
2026-06-12,APAC,Organic,3008.81
2026-06-12,APAC,Referral,1835.29
2026-06-13,NA,Paid Search,6443.92
2026-06-13,NA,Organic,5228.91
2026-06-13,NA,Referral,4095.12
2026-06-13,EMEA,Paid Search,4402.41
2026-06-13,EMEA,Organic,3453.67
2026-06-13,EMEA,Referral,2560.23
2026-06-13,APAC,Paid Search,3254.93
2026-06-13,APAC,Organic,2702.44
2026-06-13,APAC,Referral,2082.73
2026-06-14,NA,Paid Search,5906.46
2026-06-14,NA,Organic,4960.22
2026-06-14,NA,Referral,3662.89
2026-06-14,EMEA,Paid Search,4053.84
2026-06-14,EMEA,Organic,3237.43
2026-06-14,EMEA,Referral,2308.3
2026-06-14,APAC,Paid Search,3226.88
2026-06-14,APAC,Organic,2662.35
2026-06-14,APAC,Referral,1801.97
2026-06-15,NA,Paid Search,5996.82
2026-06-15,NA,Organic,4884.68
2026-06-15,NA,Referral,3479.66
2026-06-15,EMEA,Paid Search,3808.71
2026-06-15,EMEA,Organic,3448.04
2026-06-15,EMEA,Referral,2277.23
2026-06-15,APAC,Paid Search,2856.15
2026-06-15,APAC,Organic,2421.53
2026-06-15,APAC,Referral,1858.18
2026-06-16,NA,Paid Search,5720.65
2026-06-16,NA,Organic,5537.31
2026-06-16,NA,Referral,3849.45
2026-06-16,EMEA,Paid Search,3641.53
2026-06-16,EMEA,Organic,3257.47
2026-06-16,EMEA,Referral,2444.35
2026-06-16,APAC,Paid Search,2853.29
2026-06-16,APAC,Organic,2447.04
2026-06-16,APAC,Referral,1946.82
2026-06-17,NA,Paid Search,6047.97
2026-06-17,NA,Organic,5177.26
2026-06-17,NA,Referral,3805.76
2026-06-17,EMEA,Paid Search,4102.37
2026-06-17,EMEA,Organic,3231.58
2026-06-17,EMEA,Referral,2226.51
2026-06-17,APAC,Paid Search,2957.01
2026-06-17,APAC,Organic,2568.21
2026-06-17,APAC,Referral,1810.4
2026-06-18,NA,Paid Search,6199.18
2026-06-18,NA,Organic,5344.24
2026-06-18,NA,Referral,3921.98
2026-06-18,EMEA,Paid Search,3658.77
2026-06-18,EMEA,Organic,3347.03
2026-06-18,EMEA,Referral,2318.81
2026-06-18,APAC,Paid Search,3163.02
2026-06-18,APAC,Organic,2495.44
2026-06-18,APAC,Referral,1729.79
2026-06-19,NA,Paid Search,6405.3
2026-06-19,NA,Organic,5545.81
2026-06-19,NA,Referral,3791.91
2026-06-19,EMEA,Paid Search,4053.76
2026-06-19,EMEA,Organic,3920.68
2026-06-19,EMEA,Referral,2547.01
2026-06-19,APAC,Paid Search,3415.9
2026-06-19,APAC,Organic,2830.61
2026-06-19,APAC,Referral,1824.26
2026-06-20,NA,Paid Search,6974.33
2026-06-20,NA,Organic,5917.94
2026-06-20,NA,Referral,4226.19
2026-06-20,EMEA,Paid Search,4510.87
2026-06-20,EMEA,Organic,3876.87
2026-06-20,EMEA,Referral,2433.17
2026-06-20,APAC,Paid Search,3221.78
2026-06-20,APAC,Organic,2679.39
2026-06-20,APAC,Referral,1934.48
2026-06-21,NA,Paid Search,5557.7
2026-06-21,NA,Organic,5099.31
2026-06-21,NA,Referral,3922.64
2026-06-21,EMEA,Paid Search,3763.11
2026-06-21,EMEA,Organic,3554.53
2026-06-21,EMEA,Referral,2362.87
2026-06-21,APAC,Paid Search,2953.17
2026-06-21,APAC,Organic,2790.24
2026-06-21,APAC,Referral,1964.27
2026-06-22,NA,Paid Search,6033.36
2026-06-22,NA,Organic,5381.72
2026-06-22,NA,Referral,3438.95
2026-06-22,EMEA,Paid Search,3782.82
2026-06-22,EMEA,Organic,3654.98
2026-06-22,EMEA,Referral,2410.15
2026-06-22,APAC,Paid Search,3010.19
2026-06-22,APAC,Organic,2703.16
2026-06-22,APAC,Referral,1691.05
2026-06-23,NA,Paid Search,6060.54
2026-06-23,NA,Organic,5202.37
2026-06-23,NA,Referral,3845.42
2026-06-23,EMEA,Paid Search,3695.69
2026-06-23,EMEA,Organic,3650.66
2026-06-23,EMEA,Referral,2220.11
2026-06-23,APAC,Paid Search,2839.7
2026-06-23,APAC,Organic,2639.53
2026-06-23,APAC,Referral,1871.02
2026-06-24,NA,Paid Search,5726.64
2026-06-24,NA,Organic,4883.75
2026-06-24,NA,Referral,3867.3
2026-06-24,EMEA,Paid Search,3751.23
2026-06-24,EMEA,Organic,3451.42
2026-06-24,EMEA,Referral,2425.46
2026-06-24,APAC,Paid Search,2951.36
2026-06-24,APAC,Organic,2634.81
2026-06-24,APAC,Referral,1826.63
2026-06-25,NA,Paid Search,6395.93
2026-06-25,NA,Organic,4953.94
2026-06-25,NA,Referral,3765.91
2026-06-25,EMEA,Paid Search,3746.52
2026-06-25,EMEA,Organic,3343.31
2026-06-25,EMEA,Referral,2445.38
2026-06-25,APAC,Paid Search,2894.32
2026-06-25,APAC,Organic,2523.53
2026-06-25,APAC,Referral,1893.34
2026-06-26,NA,Paid Search,6016.69
2026-06-26,NA,Organic,5578.52
2026-06-26,NA,Referral,4244.72
2026-06-26,EMEA,Paid Search,4557.99
2026-06-26,EMEA,Organic,3421.28
2026-06-26,EMEA,Referral,2452.43
2026-06-26,APAC,Paid Search,3107.89
2026-06-26,APAC,Organic,3002.65
2026-06-26,APAC,Referral,2085.38
2026-06-27,NA,Paid Search,6850.32
2026-06-27,NA,Organic,5498.76
2026-06-27,NA,Referral,3715.93
2026-06-27,EMEA,Paid Search,4448.29
2026-06-27,EMEA,Organic,3791.58
2026-06-27,EMEA,Referral,2616.33
2026-06-27,APAC,Paid Search,3480.94
2026-06-27,APAC,Organic,2877.18
2026-06-27,APAC,Referral,1810.81
2026-06-28,NA,Paid Search,6283.41
2026-06-28,NA,Organic,5033.08
2026-06-28,NA,Referral,3735.16
2026-06-28,EMEA,Paid Search,4184.59
2026-06-28,EMEA,Organic,3201.05
2026-06-28,EMEA,Referral,2233.56
2026-06-28,APAC,Paid Search,2802.01
2026-06-28,APAC,Organic,2622.14
2026-06-28,APAC,Referral,1753.71
2026-06-29,NA,Paid Search,6080.3
2026-06-29,NA,Organic,5381.05
2026-06-29,NA,Referral,3467.38
2026-06-29,EMEA,Paid Search,3993.98
2026-06-29,EMEA,Organic,3271.61
2026-06-29,EMEA,Referral,2375.63
2026-06-29,APAC,Paid Search,3183.91
2026-06-29,APAC,Organic,2743.98
2026-06-29,APAC,Referral,1701.28
2026-06-30,NA,Paid Search,5906.88
2026-06-30,NA,Organic,5014.2
2026-06-30,NA,Referral,3350.87
2026-06-30,EMEA,Paid Search,4079.61
2026-06-30,EMEA,Organic,3474.59
2026-06-30,EMEA,Referral,2289.35
2026-06-30,APAC,Paid Search,3105.4
2026-06-30,APAC,Organic,2621.5
2026-06-30,APAC,Referral,1798.94
2026-07-01,NA,Paid Search,5510.85
2026-07-01,NA,Organic,4846.6
2026-07-01,NA,Referral,3863.12
2026-07-01,EMEA,Paid Search,4162.7
2026-07-01,EMEA,Organic,3424.8
2026-07-01,EMEA,Referral,2507.41
2026-07-01,APAC,Paid Search,3029.47
2026-07-01,APAC,Organic,2453.61
2026-07-01,APAC,Referral,1711.51
2026-07-02,NA,Paid Search,5796.54
2026-07-02,NA,Organic,5531.95
2026-07-02,NA,Referral,3812.46
2026-07-02,EMEA,Paid Search,4135.66
2026-07-02,EMEA,Organic,3617.02
2026-07-02,EMEA,Referral,2269.6
2026-07-02,APAC,Paid Search,2870.18
2026-07-02,APAC,Organic,2434.76
2026-07-02,APAC,Referral,1901.57
2026-07-03,NA,Paid Search,6855.34
2026-07-03,NA,Organic,5531.87
2026-07-03,NA,Referral,4007.1
2026-07-03,EMEA,Paid Search,3989.4
2026-07-03,EMEA,Organic,3924.56
2026-07-03,EMEA,Referral,2720.35
2026-07-03,APAC,Paid Search,3475.24
2026-07-03,APAC,Organic,2947.62
2026-07-03,APAC,Referral,2085.55
2026-07-04,NA,Paid Search,5967.34
2026-07-04,NA,Organic,5828.57
2026-07-04,NA,Referral,3825.65
2026-07-04,EMEA,Paid Search,4513.88
2026-07-04,EMEA,Organic,3849.57
2026-07-04,EMEA,Referral,2720.13
2026-07-04,APAC,Paid Search,3389.76
2026-07-04,APAC,Organic,2703.23
2026-07-04,APAC,Referral,2055.98
2026-07-05,NA,Paid Search,5605.03
2026-07-05,NA,Organic,5509.64
2026-07-05,NA,Referral,3848.84
2026-07-05,EMEA,Paid Search,3736.35
2026-07-05,EMEA,Organic,3572.22
2026-07-05,EMEA,Referral,2364.88
2026-07-05,APAC,Paid Search,2896.8
2026-07-05,APAC,Organic,2722.86
2026-07-05,APAC,Referral,1740.68
2026-07-06,NA,Paid Search,5524.24
2026-07-06,NA,Organic,4944.68
2026-07-06,NA,Referral,3539.98
2026-07-06,EMEA,Paid Search,4137.94
2026-07-06,EMEA,Organic,3653.99
2026-07-06,EMEA,Referral,2295.89
2026-07-06,APAC,Paid Search,3057.68
2026-07-06,APAC,Organic,2558.27
2026-07-06,APAC,Referral,1960.11
2026-07-07,NA,Paid Search,6014.65
2026-07-07,NA,Organic,5565.45
2026-07-07,NA,Referral,3415.98
2026-07-07,EMEA,Paid Search,4204.28
2026-07-07,EMEA,Organic,3225.14
2026-07-07,EMEA,Referral,2556.13
2026-07-07,APAC,Paid Search,2877.8
2026-07-07,APAC,Organic,2437.1
2026-07-07,APAC,Referral,1800.94
2026-07-08,NA,Paid Search,6198.67
2026-07-08,NA,Organic,5044.98
2026-07-08,NA,Referral,3701.86
2026-07-08,EMEA,Paid Search,3917.15
2026-07-08,EMEA,Organic,3337.55
2026-07-08,EMEA,Referral,2409.16
2026-07-08,APAC,Paid Search,2872.66
2026-07-08,APAC,Organic,2686.85
2026-07-08,APAC,Referral,1674.89
2026-07-09,NA,Paid Search,6387.19
2026-07-09,NA,Organic,5231.99
2026-07-09,NA,Referral,3767.8
2026-07-09,EMEA,Paid Search,4061.36
2026-07-09,EMEA,Organic,3492.82
2026-07-09,EMEA,Referral,2328.3
2026-07-09,APAC,Paid Search,2784.28
2026-07-09,APAC,Organic,2668.32
2026-07-09,APAC,Referral,1770.55
2026-07-10,NA,Paid Search,6266.11
2026-07-10,NA,Organic,5928.71
2026-07-10,NA,Referral,4069.42
2026-07-10,EMEA,Paid Search,4087.89
2026-07-10,EMEA,Organic,3559.95
2026-07-10,EMEA,Referral,2532.73
2026-07-10,APAC,Paid Search,3178.77
2026-07-10,APAC,Organic,2716.19
2026-07-10,APAC,Referral,1848.38
2026-07-11,NA,Paid Search,6376.19
2026-07-11,NA,Organic,6011.69
2026-07-11,NA,Referral,4042.73
2026-07-11,EMEA,Paid Search,4494.95
2026-07-11,EMEA,Organic,3739.87
2026-07-11,EMEA,Referral,2488.54
2026-07-11,APAC,Paid Search,3253.97
2026-07-11,APAC,Organic,2583.54
2026-07-11,APAC,Referral,1898.59
2026-07-12,NA,Paid Search,5912.92
2026-07-12,NA,Organic,5266.55
2026-07-12,NA,Referral,3730.1
2026-07-12,EMEA,Paid Search,3888.1
2026-07-12,EMEA,Organic,3368.53
2026-07-12,EMEA,Referral,2270.98
2026-07-12,APAC,Paid Search,2977.17
2026-07-12,APAC,Organic,2766.89
2026-07-12,APAC,Referral,1906.2
2026-07-13,NA,Paid Search,5663.96
2026-07-13,NA,Organic,4854.55
2026-07-13,NA,Referral,3649.0
2026-07-13,EMEA,Paid Search,3993.17
2026-07-13,EMEA,Organic,3310.34
2026-07-13,EMEA,Referral,2501.26
2026-07-13,APAC,Paid Search,3110.14
2026-07-13,APAC,Organic,2671.88
2026-07-13,APAC,Referral,1739.82
2026-07-14,NA,Paid Search,5692.13
2026-07-14,NA,Organic,4804.32
2026-07-14,NA,Referral,3491.4
2026-07-14,EMEA,Paid Search,3894.45
2026-07-14,EMEA,Organic,3590.26
2026-07-14,EMEA,Referral,2217.33
2026-07-14,APAC,Paid Search,2949.07
2026-07-14,APAC,Organic,2653.98
2026-07-14,APAC,Referral,1731.02
2026-07-15,NA,Paid Search,6167.87
2026-07-15,NA,Organic,5195.32
2026-07-15,NA,Referral,3490.9
2026-07-15,EMEA,Paid Search,4007.63
2026-07-15,EMEA,Organic,3131.02
2026-07-15,EMEA,Referral,2475.57
2026-07-15,APAC,Paid Search,3119.19
2026-07-15,APAC,Organic,2436.34
2026-07-15,APAC,Referral,1798.2
2026-07-16,NA,Paid Search,5669.89
2026-07-16,NA,Organic,5581.03
2026-07-16,NA,Referral,3650.46
2026-07-16,EMEA,Paid Search,3628.62
2026-07-16,EMEA,Organic,3263.56
2026-07-16,EMEA,Referral,2512.65
2026-07-16,APAC,Paid Search,2969.17
2026-07-16,APAC,Organic,2725.39
2026-07-16,APAC,Referral,1868.8
2026-07-17,NA,Paid Search,6962.56
2026-07-17,NA,Organic,5701.77
2026-07-17,NA,Referral,4214.27
2026-07-17,EMEA,Paid Search,4487.27
2026-07-17,EMEA,Organic,3738.19
2026-07-17,EMEA,Referral,2660.58
2026-07-17,APAC,Paid Search,3231.67
2026-07-17,APAC,Organic,2956.52
2026-07-17,APAC,Referral,1980.66
2026-07-18,NA,Paid Search,6868.85
2026-07-18,NA,Organic,5834.94
2026-07-18,NA,Referral,3915.27
2026-07-18,EMEA,Paid Search,4060.1
2026-07-18,EMEA,Organic,3523.5
2026-07-18,EMEA,Referral,2627.02
2026-07-18,APAC,Paid Search,3366.54
2026-07-18,APAC,Organic,2817.57
2026-07-18,APAC,Referral,2005.46
2026-07-19,NA,Paid Search,5764.33
2026-07-19,NA,Organic,4848.47
2026-07-19,NA,Referral,3515.21
2026-07-19,EMEA,Paid Search,3767.18
2026-07-19,EMEA,Organic,3301.92
2026-07-19,EMEA,Referral,2395.29
2026-07-19,APAC,Paid Search,2817.0
2026-07-19,APAC,Organic,2488.2
2026-07-19,APAC,Referral,1876.48
2026-07-20,NA,Paid Search,6177.5
2026-07-20,NA,Organic,4837.44
2026-07-20,NA,Referral,3586.19
2026-07-20,EMEA,Paid Search,3936.66
2026-07-20,EMEA,Organic,3354.18
2026-07-20,EMEA,Referral,2268.36
2026-07-20,APAC,Paid Search,2951.8
2026-07-20,APAC,Organic,2768.41
2026-07-20,APAC,Referral,1844.48
2026-07-21,NA,Paid Search,6167.08
2026-07-21,NA,Organic,5496.8
2026-07-21,NA,Referral,3794.68
2026-07-21,EMEA,Paid Search,3835.17
2026-07-21,EMEA,Organic,3131.21
2026-07-21,EMEA,Referral,2323.55
2026-07-21,APAC,Paid Search,3111.26
2026-07-21,APAC,Organic,2747.03
2026-07-21,APAC,Referral,1952.04
2026-07-22,NA,Paid Search,5902.52
2026-07-22,NA,Organic,5405.93
2026-07-22,NA,Referral,3666.87
2026-07-22,EMEA,Paid Search,3974.59
2026-07-22,EMEA,Organic,3247.97
2026-07-22,EMEA,Referral,2273.16
2026-07-22,APAC,Paid Search,2959.3
2026-07-22,APAC,Organic,2404.07
2026-07-22,APAC,Referral,1772.28
2026-07-23,NA,Paid Search,2152.99
2026-07-23,NA,Organic,5120.39
2026-07-23,NA,Referral,3444.92
2026-07-23,EMEA,Paid Search,3889.6
2026-07-23,EMEA,Organic,3197.43
2026-07-23,EMEA,Referral,2426.56
2026-07-23,APAC,Paid Search,2763.7
2026-07-23,APAC,Organic,2555.91
2026-07-23,APAC,Referral,1838.75
2026-07-24,NA,Paid Search,2089.41
2026-07-24,NA,Organic,5744.27
2026-07-24,NA,Referral,3702.06
2026-07-24,EMEA,Paid Search,4196.92
2026-07-24,EMEA,Organic,3407.78
2026-07-24,EMEA,Referral,2520.68
2026-07-24,APAC,Paid Search,3080.22
2026-07-24,APAC,Organic,2730.21
2026-07-24,APAC,Referral,2047.76
2026-07-25,NA,Paid Search,2216.72
2026-07-25,NA,Organic,5842.45
2026-07-25,NA,Referral,4139.98
2026-07-25,EMEA,Paid Search,4055.42
2026-07-25,EMEA,Organic,3426.36
2026-07-25,EMEA,Referral,2372.74
2026-07-25,APAC,Paid Search,3249.57
2026-07-25,APAC,Organic,3032.6
2026-07-25,APAC,Referral,1918.41
2026-07-26,NA,Paid Search,2143.28
2026-07-26,NA,Organic,5433.99
2026-07-26,NA,Referral,3728.38
2026-07-26,EMEA,Paid Search,4069.05
2026-07-26,EMEA,Organic,3644.59
2026-07-26,EMEA,Referral,2265.52
2026-07-26,APAC,Paid Search,2760.55
2026-07-26,APAC,Organic,2455.39
2026-07-26,APAC,Referral,1711.16
2026-07-27,NA,Paid Search,2149.75
2026-07-27,NA,Organic,5253.22
2026-07-27,NA,Referral,3475.74
2026-07-27,EMEA,Paid Search,4034.79
2026-07-27,EMEA,Organic,3545.19
2026-07-27,EMEA,Referral,2253.49
2026-07-27,APAC,Paid Search,3041.31
2026-07-27,APAC,Organic,2703.14
2026-07-27,APAC,Referral,1707.75
